Rk;Season;Team;W;G;W;L;W/L%
1;2009-10;CLE;61;82;61;21;0.744
2;2009-10;ORL;59;82;59;23;0.72
3;2009-10;LAL;57;82;57;25;0.695
4;2009-10;DAL;55;82;55;27;0.671
5;2009-10;PHO;54;82;54;28;0.659
6;2009-10;UTA;53;82;53;29;0.646
7;2009-10;DEN;53;82;53;29;0.646
8;2009-10;ATL;53;82;53;29;0.646
9;2009-10;BOS;50;82;50;32;0.61
10;2009-10;SAS;50;82;50;32;0.61
11;2009-10;POR;50;82;50;32;0.61
12;2009-10;OKC;50;82;50;32;0.61
13;2009-10;MIA;47;82;47;35;0.573
14;2009-10;MIL;46;82;46;36;0.561
15;2009-10;CHA;44;82;44;38;0.537
16;2009-10;HOU;42;82;42;40;0.512
17;2009-10;CHI;41;82;41;41;0.5
18;2009-10;MEM;40;82;40;42;0.488
19;2009-10;TOR;40;82;40;42;0.488
20;2009-10;NOH;37;82;37;45;0.451
21;2009-10;IND;32;82;32;50;0.39
22;2009-10;LAC;29;82;29;53;0.354
23;2009-10;NYK;29;82;29;53;0.354
24;2009-10;PHI;27;82;27;55;0.329
25;2009-10;DET;27;82;27;55;0.329
26;2009-10;GSW;26;82;26;56;0.317
27;2009-10;WAS;26;82;26;56;0.317
28;2009-10;SAC;25;82;25;57;0.305
29;2009-10;MIN;15;82;15;67;0.183
30;2009-10;NJN;12;82;12;70;0.146
